Size, Threads, Seq, Par, Libc
100, 0, 0.000025, 0.000326, 0.000031
100, 0, 0.000025, 0.000323, 0.000035
100, 0, 0.000025, 0.000331, 0.000036
100, 0, 0.000026, 0.000320, 0.000035
100, 0, 0.000026, 0.000337, 0.000035
100, 1, 0.000025, 0.000543, 0.000034
100, 1, 0.000025, 0.000477, 0.000035
100, 1, 0.000027, 0.000478, 0.000035
100, 1, 0.000026, 0.000467, 0.000035
100, 1, 0.000025, 0.000474, 0.000034
100, 2, 0.000025, 0.000815, 0.000035
100, 2, 0.000026, 0.000969, 0.000035
100, 2, 0.000025, 0.000610, 0.000033
100, 2, 0.000025, 0.000751, 0.000032
100, 2, 0.000024, 0.000633, 0.000035
100, 3, 0.000025, 0.001190, 0.000032
100, 3, 0.000025, 0.000979, 0.000032
100, 3, 0.000025, 0.000958, 0.000032
100, 3, 0.000030, 0.001347, 0.000032
100, 3, 0.000024, 0.000951, 0.000032
100, 4, 0.000026, 0.001744, 0.000033
100, 4, 0.000024, 0.001511, 0.000031
100, 4, 0.000024, 0.001702, 0.000046
100, 4, 0.000027, 0.001647, 0.000032
100, 4, 0.000025, 0.001600, 0.000033
100, 5, 0.000025, 0.002805, 0.000032
100, 5, 0.000025, 0.002657, 0.000033
100, 5, 0.000027, 0.002711, 0.000031
100, 5, 0.000026, 0.003261, 0.000034
100, 5, 0.000027, 0.003424, 0.000080
100, 6, 0.000026, 0.004304, 0.000031
100, 6, 0.000027, 0.005305, 0.000032
100, 6, 0.000027, 0.005164, 0.000032
100, 6, 0.000026, 0.004995, 0.000033
100, 6, 0.000026, 0.004318, 0.000033
100, 7, 0.000027, 0.007681, 0.000032
100, 7, 0.000027, 0.006065, 0.000032
100, 7, 0.000025, 0.007115, 0.000032
100, 7, 0.000025, 0.007134, 0.000032
100, 7, 0.000026, 0.007536, 0.000032
100, 8, 0.000027, 0.008722, 0.000032
100, 8, 0.000026, 0.008631, 0.000032
100, 8, 0.000025, 0.005022, 0.000033
100, 8, 0.000025, 0.004909, 0.000032
100, 8, 0.000025, 0.005349, 0.000031
1000, 0, 0.000352, 0.000610, 0.000445
1000, 0, 0.000328, 0.000550, 0.000474
1000, 0, 0.000319, 0.000594, 0.000454
1000, 0, 0.000323, 0.000634, 0.000441
1000, 0, 0.000322, 0.000632, 0.000441
1000, 1, 0.000322, 0.000581, 0.000435
1000, 1, 0.000323, 0.000599, 0.000441
1000, 1, 0.000324, 0.000612, 0.000449
1000, 1, 0.000323, 0.000629, 0.000446
1000, 1, 0.000322, 0.000573, 0.000487
1000, 2, 0.000322, 0.001065, 0.000433
1000, 2, 0.000325, 0.000806, 0.000435
1000, 2, 0.000322, 0.000679, 0.000456
1000, 2, 0.000320, 0.000747, 0.000443
1000, 2, 0.000318, 0.000963, 0.000436
1000, 3, 0.000322, 0.001256, 0.000439
1000, 3, 0.000324, 0.001053, 0.000448
1000, 3, 0.000321, 0.001230, 0.000432
1000, 3, 0.000317, 0.001093, 0.000427
1000, 3, 0.000323, 0.000989, 0.000430
1000, 4, 0.000324, 0.002148, 0.000430
1000, 4, 0.000322, 0.001914, 0.000428
1000, 4, 0.000324, 0.002271, 0.000441
1000, 4, 0.000327, 0.002247, 0.000432
1000, 4, 0.000325, 0.001950, 0.000431
1000, 5, 0.000320, 0.003503, 0.000432
1000, 5, 0.000319, 0.003373, 0.000427
1000, 5, 0.000320, 0.003529, 0.000431
1000, 5, 0.000321, 0.003424, 0.000429
1000, 5, 0.000322, 0.003352, 0.000429
1000, 6, 0.000319, 0.006622, 0.000435
1000, 6, 0.000346, 0.007156, 0.000431
1000, 6, 0.000321, 0.006265, 0.000431
1000, 6, 0.000321, 0.006522, 0.000436
1000, 6, 0.000321, 0.006557, 0.000432
1000, 7, 0.000319, 0.012910, 0.000463
1000, 7, 0.000321, 0.011530, 0.000445
1000, 7, 0.000322, 0.011895, 0.000441
1000, 7, 0.000326, 0.012687, 0.000462
1000, 7, 0.000324, 0.012318, 0.000452
1000, 8, 0.000320, 0.020999, 0.000465
1000, 8, 0.000324, 0.020045, 0.000467
1000, 8, 0.000320, 0.019200, 0.000461
1000, 8, 0.000322, 0.019866, 0.000493
1000, 8, 0.000321, 0.018210, 0.000458
10000, 0, 0.004263, 0.004752, 0.004396
10000, 0, 0.004249, 0.004725, 0.004357
10000, 0, 0.004221, 0.004795, 0.004372
10000, 0, 0.004235, 0.004728, 0.004369
10000, 0, 0.004272, 0.004713, 0.004375
10000, 1, 0.004233, 0.003820, 0.004371
10000, 1, 0.004253, 0.004628, 0.005185
10000, 1, 0.004254, 0.003905, 0.004356
10000, 1, 0.004229, 0.003959, 0.004356
10000, 1, 0.004221, 0.003850, 0.004403
10000, 2, 0.004224, 0.004000, 0.004342
10000, 2, 0.004243, 0.004088, 0.004342
10000, 2, 0.004246, 0.004010, 0.004392
