Size, Threads, Seq, Par, Libc
100000000, 0, 29.825588, 29.624257, 32.835635
100000000, 0, 30.143364, 30.467985, 32.784699
100000000, 0, 29.952079, 30.085580, 32.736209
100000000, 0, 29.892616, 30.293896, 32.737379
100000000, 0, 29.686448, 30.588762, 32.696856
100000000, 1, 29.912028, 27.039970, 32.759876
100000000, 1, 29.597122, 27.226788, 32.741164
100000000, 1, 29.654307, 20.248764, 32.831306
100000000, 1, 29.626159, 24.528795, 32.703743
100000000, 1, 30.868483, 26.868459, 32.738648
100000000, 2, 30.934492, 17.377170, 32.778021
100000000, 2, 30.281123, 19.663551, 33.087885
100000000, 2, 29.790846, 20.318209, 32.663466
100000000, 2, 30.156331, 22.418416, 32.770494
100000000, 2, 29.642668, 22.990389, 32.660985
100000000, 3, 29.789433, 19.212679, 32.663939
100000000, 3, 29.783092, 16.761067, 32.685049
100000000, 3, 30.416573, 18.488371, 32.757036
100000000, 3, 30.260184, 17.771707, 32.680410
100000000, 3, 29.695080, 19.173785, 32.731440
100000000, 4, 29.640923, 21.160927, 32.702168
100000000, 4, 29.785010, 22.066516, 32.625921
100000000, 4, 29.762374, 24.765827, 32.734768
100000000, 4, 30.106206, 18.609109, 32.695354
100000000, 4, 29.868199, 22.086813, 32.695057
