Size, Threads, Seq, Par, Libc
100000000, 0, , 47.133375, 47.434788
100000000, 0, 47.400508, 47.133375, 47.022160
100000000, 0, 44.911121, 48.313735, 47.066165
100000000, 1, 44.911121, 46.664718, 47.033083
100000000, 1, 46.473390, 46.664718, 47.024891
100000000, 1, 45.010775, 42.283641, 47.071943
100000000, 1, 45.010775, 41.348296, 47.038131
100000000, 1, 47.571021, 41.348296, 47.045101
100000000, 2, 44.753196, 41.803738, 47.060900
100000000, 2, 47.316721, 41.803738, 47.076236
100000000, 2, 44.706826, 39.205487, 47.051287
100000000, 2, 44.706826, 55.354130, 47.053152
100000000, 2, 47.633985, 55.354130, 47.060533
100000000, 2, 44.216654, 38.875448, 47.048330
100000000, 2, 44.216654, 38.719707, 47.039062
100000000, 3, 46.834079, 57.072969, 47.030523
100000000, 3, 47.566183, 57.072969, 47.037174
100000000, 3, 44.678244, 50.418429, 47.027830
100000000, 3, 44.678244, 61.360233, 47.145583
100000000, 3, 47.225701, 61.360233, 47.026987
100000000, 3, 45.263461, 63.332183, 47.039302
100000000, 3, 45.263461, 63.772229, 47.070110
100000000, 3, 47.087490, 63.772229, 47.038188
100000000, 3, 45.839152, 49.888719, 47.107047
100000000, 4, 45.839152, 51.081182, 47.045836
100000000, 4, 46.645527, 51.081182, 47.025069
100000000, 4, 44.688303, 57.747282, 47.078504
100000000, 4, 44.688303, 59.331578, 47.026774
100000000, 4, 48.058013, 59.331578, 47.035138
100000000, 4, 45.082744, 59.851013, 47.191573
100000000, 4, 45.082744, 53.368764, 47.107352
100000000, 4, 47.051019, 53.368764, 47.044696
100000000, 4, 44.666034, 53.207021, 47.068180
100000000, 4, 44.666034, 56.663838, 47.094156
100000000, 4, 47.750038, 56.663838, 47.031027
